high_queue_length,high_consumer_throughput,high_arrival_interval,high_utilisation,high_backlog_growth,high_tail_latency,medium_queue_length,medium_consumer_throughput,medium_arrival_interval,medium_utilisation,medium_backlog_growth,medium_tail_latency,low_queue_length,low_consumer_throughput,low_arrival_interval,low_utilisation,low_backlog_growth,low_tail_latency,target_queue
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.high
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,priority.high
0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.medium
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.low
0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,priority.high
