condition_label,metric_label,Little's Law,ML,Shortest queue
Moderate long burst,Mean aggregate backlog,"1.815 [1.453, 3.531]","20.152 [9.453, 24.609]","15.375 [5.844, 17.703]"
Moderate long burst,Mean queue imbalance,"0.733 [0.594, 1.333]","8.081 [4.347, 9.342]","5.929 [2.718, 6.574]"
Moderate long burst,Median realised waiting time (ms),"3.000 [3.000, 3.000]","36.000 [32.000, 65.000]","5.000 [4.000, 26.000]"
Moderate long burst,Median routing overhead (ms),"0.154 [0.150, 0.155]","6.235 [6.180, 6.326]","0.153 [0.147, 0.163]"
Moderate long burst,P95 realised waiting time (ms),"961.600 [641.150, 1627.600]","2556.000 [1735.000, 3484.400]","3157.600 [2137.250, 3415.450]"
Moderate long burst,Recovery time (s),"16.563 [12.342, 20.577]","27.509 [0.500, 29.415]","29.788 [21.868, 35.562]"
Moderate long burst,Throughput (events/s),"4.409 [4.364, 4.745]","4.405 [4.366, 4.744]","4.430 [4.371, 4.740]"
Steady workload,Mean aggregate backlog,"0.312 [0.203, 0.375]","1.531 [1.016, 3.016]","0.606 [0.469, 1.297]"
Steady workload,Mean queue imbalance,"0.101 [0.096, 0.140]","0.722 [0.479, 1.322]","0.240 [0.170, 0.398]"
Steady workload,Median realised waiting time (ms),"3.000 [2.000, 3.000]","28.500 [6.000, 36.000]","3.000 [2.000, 3.000]"
Steady workload,Median routing overhead (ms),"0.153 [0.152, 0.156]","6.328 [6.166, 6.405]","0.151 [0.145, 0.154]"
Steady workload,P95 realised waiting time (ms),"203.500 [198.750, 322.900]","737.750 [439.750, 1349.850]","382.000 [199.450, 524.650]"
Steady workload,Throughput (events/s),"3.989 [3.708, 4.235]","3.984 [3.705, 4.239]","3.983 [3.710, 4.227]"
Strong short burst,Mean aggregate backlog,"17.359 [9.523, 19.031]","37.109 [19.297, 37.281]","22.984 [16.031, 23.359]"
Strong short burst,Mean queue imbalance,"5.174 [2.876, 6.267]","10.132 [7.439, 13.451]","6.886 [4.380, 8.074]"
Strong short burst,Median realised waiting time (ms),"5.000 [3.000, 5.000]","68.000 [41.000, 115.000]","6.000 [3.000, 10.000]"
Strong short burst,Median routing overhead (ms),"0.155 [0.154, 0.158]","6.238 [6.188, 6.331]","0.145 [0.144, 0.150]"
Strong short burst,P95 realised waiting time (ms),"5348.700 [3584.900, 6785.450]","8285.550 [5740.200, 10332.400]","5121.800 [4821.500, 5581.750]"
Strong short burst,Recovery time (s),"18.435 [11.477, 24.360]","26.432 [26.384, 30.578]","22.375 [18.529, 27.600]"
Strong short burst,Throughput (events/s),"4.650 [4.644, 5.113]","4.673 [4.651, 5.114]","4.684 [4.674, 5.116]"
