condition,condition_label,strategy,strategy_label,metric,metric_label,n_runs,mean,std,median,q1,q3,min,max
steady-medium,Steady workload,shortest-queue,Shortest queue,median_queueing_latency_ms,Median realised waiting time (ms),5,2.800000,0.836660,3.000000,2.000000,3.000000,2.000000,4.000000
steady-medium,Steady workload,shortest-queue,Shortest queue,p95_queueing_latency_ms,P95 realised waiting time (ms),5,390.940000,203.738271,382.000000,199.450000,524.650000,190.650000,657.950000
steady-medium,Steady workload,shortest-queue,Shortest queue,p99_queueing_latency_ms,P99 realised waiting time (ms),5,814.480000,290.661090,925.280000,783.540000,1017.800000,324.130000,1021.650000
steady-medium,Steady workload,shortest-queue,Shortest queue,mean_backlog,Mean aggregate backlog,5,0.799337,0.654761,0.606061,0.468750,1.296875,0.000000,1.625000
steady-medium,Steady workload,shortest-queue,Shortest queue,p95_backlog,P95 aggregate backlog,5,5.000000,3.316625,5.000000,4.000000,8.000000,0.000000,8.000000
steady-medium,Steady workload,shortest-queue,Shortest queue,mean_queue_imbalance,Mean queue imbalance,5,0.279566,0.224803,0.240418,0.169615,0.397748,0.000000,0.590049
steady-medium,Steady workload,shortest-queue,Shortest queue,p95_queue_imbalance,P95 queue imbalance,5,2.089547,1.448378,1.885618,1.699673,3.091206,0.000000,3.771236
steady-medium,Steady workload,shortest-queue,Shortest queue,throughput_events_per_second,Throughput (events/s),5,4.000000,0.315017,3.983446,3.709667,4.227221,3.680965,4.398702
steady-medium,Steady workload,shortest-queue,Shortest queue,median_routing_overhead_ms,Median routing overhead (ms),5,0.155825,0.018120,0.151028,0.144801,0.153885,0.142263,0.187147
steady-medium,Steady workload,little-law,Little's Law,median_queueing_latency_ms,Median realised waiting time (ms),5,2.600000,0.547723,3.000000,2.000000,3.000000,2.000000,3.000000
steady-medium,Steady workload,little-law,Little's Law,p95_queueing_latency_ms,P95 realised waiting time (ms),5,312.860000,200.344370,203.500000,198.750000,322.900000,182.200000,656.950000
steady-medium,Steady workload,little-law,Little's Law,p99_queueing_latency_ms,P99 realised waiting time (ms),5,725.138000,331.751985,927.820000,367.550000,939.260000,361.100000,1029.960000
steady-medium,Steady workload,little-law,Little's Law,mean_backlog,Mean aggregate backlog,5,0.709375,1.023026,0.312500,0.203125,0.375000,0.125000,2.531250
steady-medium,Steady workload,little-law,Little's Law,p95_backlog,P95 aggregate backlog,5,4.940000,6.779971,2.000000,1.700000,3.000000,1.000000,17.000000
steady-medium,Steady workload,little-law,Little's Law,mean_queue_imbalance,Mean queue imbalance,5,0.289602,0.444864,0.100617,0.095754,0.139948,0.029463,1.082228
steady-medium,Steady workload,little-law,Little's Law,p95_queue_imbalance,P95 queue imbalance,5,2.034776,3.346354,0.471405,0.471405,0.816497,0.400694,8.013877
steady-medium,Steady workload,little-law,Little's Law,throughput_events_per_second,Throughput (events/s),5,4.003573,0.319632,3.988592,3.707578,4.235021,3.679957,4.406718
steady-medium,Steady workload,little-law,Little's Law,median_routing_overhead_ms,Median routing overhead (ms),5,0.154352,0.005967,0.152540,0.151874,0.156264,0.147586,0.163494
steady-medium,Steady workload,ml,ML,median_queueing_latency_ms,Median realised waiting time (ms),5,27.100000,23.501064,28.500000,6.000000,36.000000,4.000000,61.000000
steady-medium,Steady workload,ml,ML,p95_queueing_latency_ms,P95 realised waiting time (ms),5,1159.240000,1030.344261,737.750000,439.750000,1349.850000,396.850000,2872.000000
steady-medium,Steady workload,ml,ML,p99_queueing_latency_ms,P99 realised waiting time (ms),5,2045.114000,1492.136037,1565.540000,1158.840000,2170.050000,780.780000,4550.360000
steady-medium,Steady workload,ml,ML,mean_backlog,Mean aggregate backlog,5,2.059375,1.584355,1.531250,1.015625,3.015625,0.421875,4.312500
steady-medium,Steady workload,ml,ML,p95_backlog,P95 aggregate backlog,5,9.000000,7.516648,7.000000,5.000000,8.000000,3.000000,22.000000
steady-medium,Steady workload,ml,ML,mean_queue_imbalance,Mean queue imbalance,5,0.948854,0.729348,0.721838,0.478770,1.321829,0.198874,2.022957
steady-medium,Steady workload,ml,ML,p95_queue_imbalance,P95 queue imbalance,5,3.987281,3.630777,2.494438,2.357023,3.299832,1.414214,10.370899
steady-medium,Steady workload,ml,ML,throughput_events_per_second,Throughput (events/s),5,3.995936,0.312935,3.983600,3.705383,4.239214,3.674901,4.376582
steady-medium,Steady workload,ml,ML,median_routing_overhead_ms,Median routing overhead (ms),5,6.332966,0.386922,6.328153,6.166054,6.404704,5.853430,6.912491
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,median_queueing_latency_ms,Median realised waiting time (ms),5,8.000000,6.284903,6.000000,3.000000,10.000000,3.000000,18.000000
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,p95_queueing_latency_ms,P95 realised waiting time (ms),5,4888.490000,1578.225595,5121.800000,4821.500000,5581.750000,2331.000000,6586.400000
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,p99_queueing_latency_ms,P99 realised waiting time (ms),5,7052.802000,1517.826558,6766.060000,6628.730000,7359.260000,5160.050000,9349.910000
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,mean_backlog,Mean aggregate backlog,5,20.063068,8.079556,22.984375,16.031250,23.359375,8.409091,29.531250
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,p95_backlog,P95 aggregate backlog,5,102.130000,28.490735,110.000000,101.150000,113.500000,55.000000,131.000000
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,mean_queue_imbalance,Mean queue imbalance,5,5.916367,2.631141,6.885543,4.380381,8.073557,2.081857,8.160497
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,p95_queue_imbalance,P95 queue imbalance,5,34.308959,14.764098,39.126575,26.809904,40.554490,13.199327,51.854497
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,throughput_events_per_second,Throughput (events/s),5,4.847193,0.444431,4.683615,4.673815,5.116123,4.307350,5.455062
