condition,condition_label,metric,metric_label,first_strategy,first_strategy_label,second_strategy,second_strategy_label,n_pairs,mean_difference_first_minus_second,mean_difference_ci95_low,mean_difference_ci95_high,median_difference_first_minus_second,median_percent_change_vs_second,first_strategy_wins,ties,second_strategy_wins,wilcoxon_two_sided_p,matched_rank_biserial,lower_is_better
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,ML,shortest-queue,Shortest queue,5,24.300000,-4.989851,53.589851,25.500000,850.000000,0,0,5,0.062500,1.000000,True
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,ML,little-law,Little's Law,5,24.500000,-4.098732,53.098732,25.500000,850.000000,0,0,5,0.062500,1.000000,True
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,ML,shortest-queue,Shortest queue,5,768.300000,-637.694128,2174.294128,355.750000,130.658274,1,0,4,0.187500,0.733333,True
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,ML,little-law,Little's Law,5,846.380000,-362.324725,2055.084725,539.000000,141.355653,0,0,5,0.062500,1.000000,True
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,ML,shortest-queue,Shortest queue,5,1230.634000,-495.197763,2956.465763,782.000000,112.406401,0,0,5,0.062500,1.000000,True
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,ML,little-law,Little's Law,5,1319.976000,-386.156564,3026.108564,626.280000,116.222653,0,0,5,0.062500,1.000000,True
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,ML,shortest-queue,Shortest queue,5,1.260038,-0.744802,3.264877,0.409564,30.904393,2,0,3,0.312500,0.600000,True
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,ML,little-law,Little's Law,5,1.350000,0.158567,2.541433,1.406250,400.000000,0,0,5,0.062500,1.000000,True
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,ML,shortest-queue,Shortest queue,5,4.000000,-4.467020,12.467020,1.000000,6.250000,2,0,3,0.500000,0.400000,True
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,ML,little-law,Little's Law,5,4.060000,1.103901,7.016099,5.000000,300.000000,0,1,4,0.125000,1.000000,True
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,ML,shortest-queue,Shortest queue,5,0.669288,-0.256532,1.595107,0.238352,60.737964,0,0,5,0.062500,1.000000,True
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,ML,little-law,Little's Law,5,0.659252,0.123574,1.194929,0.692375,400.000000,0,0,5,0.062500,1.000000,True
