condition,condition_label,metric,metric_label,first_strategy,second_strategy,random_seed,first_value,second_value,difference_first_minus_second
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1001,61.000000,3.000000,58.000000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1002,6.000000,4.000000,2.000000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1003,36.000000,2.000000,34.000000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1004,28.500000,3.000000,25.500000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1005,4.000000,2.000000,2.000000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1001,61.000000,3.000000,58.000000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1002,6.000000,2.000000,4.000000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1003,36.000000,3.000000,33.000000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1004,28.500000,3.000000,25.500000
steady-medium,Steady workload,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1005,4.000000,2.000000,2.000000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1001,1349.850000,524.650000,825.200000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1002,396.850000,657.950000,-261.100000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1003,2872.000000,199.450000,2672.550000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1004,737.750000,382.000000,355.750000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1005,439.750000,190.650000,249.100000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1001,1349.850000,656.950000,692.900000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1002,396.850000,203.500000,193.350000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1003,2872.000000,322.900000,2549.100000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1004,737.750000,198.750000,539.000000
steady-medium,Steady workload,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1005,439.750000,182.200000,257.550000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1001,1565.540000,783.540000,782.000000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1002,1158.840000,1017.800000,141.040000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1003,4550.360000,925.280000,3625.080000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1004,2170.050000,1021.650000,1148.400000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1005,780.780000,324.130000,456.650000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1001,1565.540000,939.260000,626.280000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1002,1158.840000,927.820000,231.020000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1003,4550.360000,1029.960000,3520.400000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1004,2170.050000,367.550000,1802.500000
steady-medium,Steady workload,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1005,780.780000,361.100000,419.680000
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1001,4.312500,1.296875,3.015625
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1002,1.531250,1.625000,-0.093750
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1003,3.015625,0.000000,3.015625
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1004,1.015625,0.606061,0.409564
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1005,0.421875,0.468750,-0.046875
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,little-law,1001,4.312500,2.531250,1.781250
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,little-law,1002,1.531250,0.125000,1.406250
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,little-law,1003,3.015625,0.375000,2.640625
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,little-law,1004,1.015625,0.203125,0.812500
steady-medium,Steady workload,mean_backlog,Mean aggregate backlog,ml,little-law,1005,0.421875,0.312500,0.109375
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1001,22.000000,8.000000,14.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1002,7.000000,8.000000,-1.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1003,8.000000,0.000000,8.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1004,5.000000,4.000000,1.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1005,3.000000,5.000000,-2.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,little-law,1001,22.000000,17.000000,5.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,little-law,1002,7.000000,1.700000,5.300000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,little-law,1003,8.000000,2.000000,6.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,little-law,1004,5.000000,1.000000,4.000000
steady-medium,Steady workload,p95_backlog,P95 aggregate backlog,ml,little-law,1005,3.000000,3.000000,0.000000
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1001,2.022957,0.397748,1.625209
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1002,0.721838,0.590049,0.131789
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1003,1.321829,0.000000,1.321829
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1004,0.478770,0.240418,0.238352
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1005,0.198874,0.169615,0.029259
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1001,2.022957,1.082228,0.940729
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1002,0.721838,0.029463,0.692375
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1003,1.321829,0.139948,1.181881
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1004,0.478770,0.095754,0.383016
steady-medium,Steady workload,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1005,0.198874,0.100617,0.098257
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1001,10.370899,3.771236,6.599663
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1002,3.299832,3.091206,0.208626
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1003,2.494438,0.000000,2.494438
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1004,2.357023,1.885618,0.471405
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1005,1.414214,1.699673,-0.285459
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1001,10.370899,8.013877,2.357022
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1002,3.299832,0.400694,2.899138
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1003,2.494438,0.471405,2.023033
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1004,2.357023,0.471405,1.885618
steady-medium,Steady workload,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1005,1.414214,0.816497,0.597717
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1001,4.376582,4.398702,-0.022120
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1002,3.674901,3.680965,-0.006064
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1003,3.705383,3.709667,-0.004284
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1004,4.239214,4.227221,0.011993
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1005,3.983600,3.983446,0.000154
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,little-law,1001,4.376582,4.406718,-0.030136
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,little-law,1002,3.674901,3.679957,-0.005056
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,little-law,1003,3.705383,3.707578,-0.002195
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,little-law,1004,4.239214,4.235021,0.004193
steady-medium,Steady workload,throughput_events_per_second,Throughput (events/s),ml,little-law,1005,3.983600,3.988592,-0.004992
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1001,6.912491,0.153885,6.758607
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1002,6.166054,0.187147,5.978906
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1003,6.404704,0.144801,6.259902
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1004,6.328153,0.142263,6.185890
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1005,5.853430,0.151028,5.702403
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1001,6.912491,0.147586,6.764905
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1002,6.166054,0.156264,6.009790
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1003,6.404704,0.163494,6.241210
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1004,6.328153,0.151874,6.176279
steady-medium,Steady workload,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1005,5.853430,0.152540,5.700890
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1001,198.500000,18.000000,180.500000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1002,41.000000,3.000000,38.000000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1003,68.000000,6.000000,62.000000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1004,115.000000,10.000000,105.000000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1005,24.000000,3.000000,21.000000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1001,198.500000,121.000000,77.500000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1002,41.000000,3.000000,38.000000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1003,68.000000,5.000000,63.000000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1004,115.000000,5.000000,110.000000
strong-short-burst,Strong short burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1005,24.000000,3.000000,21.000000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1001,10332.400000,5581.750000,4750.650000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1002,2404.350000,2331.000000,73.350000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1003,12914.050000,6586.400000,6327.650000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1004,8285.550000,5121.800000,3163.750000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1005,5740.200000,4821.500000,918.700000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1001,10332.400000,7666.850000,2665.550000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1002,2404.350000,2467.500000,-63.150000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1003,12914.050000,6785.450000,6128.600000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1004,8285.550000,5348.700000,2936.850000
strong-short-burst,Strong short burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1005,5740.200000,3584.900000,2155.300000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1001,16359.110000,6766.060000,9593.050000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1002,3426.990000,5160.050000,-1733.060000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1003,15754.360000,9349.910000,6404.450000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1004,14990.980000,6628.730000,8362.250000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1005,8651.860000,7359.260000,1292.600000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1001,16359.110000,9805.110000,6554.000000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1002,3426.990000,3223.050000,203.940000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1003,15754.360000,7357.420000,8396.940000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1004,14990.980000,7714.510000,7276.470000
strong-short-burst,Strong short burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1005,8651.860000,5682.870000,2968.990000
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1001,47.923077,29.531250,18.391827
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1002,6.156250,8.409091,-2.252841
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1003,37.109375,23.359375,13.750000
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1004,37.281250,22.984375,14.296875
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1005,19.296875,16.031250,3.265625
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1001,47.923077,44.843750,3.079327
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1002,6.156250,4.765625,1.390625
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1003,37.109375,17.359375,19.750000
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1004,37.281250,19.031250,18.250000
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1005,19.296875,9.523077,9.773798
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1001,161.000000,131.000000,30.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1002,58.000000,55.000000,3.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1003,146.450000,110.000000,36.450000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1004,119.000000,101.150000,17.850000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1005,78.000000,113.500000,-35.500000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1001,161.000000,140.000000,21.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1002,58.000000,49.000000,9.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1003,146.450000,79.000000,67.450000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1004,119.000000,89.000000,30.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1005,78.000000,81.000000,-3.000000
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1001,14.061712,8.160497,5.901215
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1002,1.978579,2.081857,-0.103278
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1003,13.451364,8.073557,5.377807
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1004,10.131716,6.885543,3.246173
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1005,7.439084,4.380381,3.058703
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1001,14.061712,11.381246,2.680466
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1002,1.978579,0.784398,1.194181
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1003,13.451364,5.174149,8.277215
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1004,10.131716,6.267136,3.864580
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1005,7.439084,2.875903,4.563181
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1001,75.896128,40.554490,35.341638
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1002,15.520596,13.199327,2.321269
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1003,62.225397,51.854497,10.370900
