condition,feature,feature_label,n,median,q1,q3,p95,p99,maximum
Training,queue_length,Queue length,4431,0.000000,0.000000,0.000000,6.000000,29.000000,47.000000
Training,arrival_rate,Arrival rate,4431,4.400000,2.400000,6.600000,11.000000,15.600000,17.400000
Training,consumer_throughput,Consumer throughput,4431,4.400000,2.300000,6.600000,11.000000,14.800000,16.200000
Training,utilisation,Utilisation,4431,1.000000,0.842105,1.000000,1.128205,1.678851,2.863636
Training,backlog_growth,Backlog growth,4431,0.000000,0.000000,0.000000,0.000000,3.943775,45.897245
Steady,queue_length,Queue length,960,0.000000,0.000000,0.000000,3.000000,18.000000,41.000000
Steady,arrival_rate,Arrival rate,960,0.100000,0.000000,7.600000,15.410000,28.794000,32.400000
Steady,consumer_throughput,Consumer throughput,960,0.200000,0.000000,7.600000,14.400000,28.138000,29.200000
Steady,utilisation,Utilisation,960,0.095238,0.000000,1.000000,1.111111,1.406780,2.769231
Steady,backlog_growth,Backlog growth,960,0.000000,0.000000,0.000000,0.000000,2.945829,34.660296
Strong-short,queue_length,Queue length,963,0.000000,0.000000,4.000000,63.000000,117.120000,161.000000
Strong-short,arrival_rate,Arrival rate,963,0.600000,0.000000,7.000000,24.200000,36.168000,39.600000
Strong-short,consumer_throughput,Consumer throughput,963,1.600000,0.000000,8.400000,16.920000,26.152000,34.400000
Strong-short,utilisation,Utilisation,963,0.363636,0.000000,1.000000,1.466422,4.508487,4.857143
Strong-short,backlog_growth,Backlog growth,963,0.000000,0.000000,0.000000,0.000000,30.216471,159.099618
Moderate-long,queue_length,Queue length,966,0.000000,0.000000,1.000000,41.000000,61.350000,79.000000
Moderate-long,arrival_rate,Arrival rate,966,0.600000,0.000000,8.200000,18.800000,25.720000,46.000000
Moderate-long,consumer_throughput,Consumer throughput,966,1.400000,0.000000,9.600000,14.550000,24.370000,28.800000
Moderate-long,utilisation,Utilisation,966,0.285714,0.000000,1.000000,1.346154,2.235294,2.314286
Moderate-long,backlog_growth,Backlog growth,966,0.000000,0.000000,0.000000,0.000000,26.914035,73.025878
